user_id,gender,age_group
cdae77ff-7fd2-4200-b799-503f2d7c6fed,F,XX-XX
c355d872-f297-40ae-8063-de57ab528567,M,XX-XX
7b2b0fcb-b194-4237-bfd6-ae2e42f1d82a,M,XX-XX
0940f2f7-b335-47f7-84b5-b0a34c932d44,M,XX-XX
892eb7f1-f60c-4c45-a595-59f29d6e466c,F,XX-XX
971afc7c-9912-48e4-9a70-7fbe0902f146,F,XX-XX
b05eafc3-cff5-4c2d-832c-b91a6093f98e,F,XX-XX
496d9a9d-b7ec-4a3a-89b1-b8f250de7e8a,M,XX-XX
3928ee17-535f-4063-ad18-aef377795235,M,XX-XX
5cb6c30f-12fd-4bce-bc08-c59fff2ae4e2,M,XX-XX
45f8eb07-9317-4f45-8068-ede3758b30b4,F,XX-XX
efd51806-0980-4a97-93ce-ad461107a692,M,XX-XX
2fc1920c-4ce9-40f6-bc62-43872df7f525,M,XX-XX
3bc2e0e9-ebc2-4923-b787-5bd619caa7ff,F,XX-XX
e6e7b263-a7df-4efc-a240-84fbfd8b8ee7,M,XX-XX
8072fe18-8eb1-474b-9c06-8053a5f73dbc,F,XX-XX
d5678831-e080-47f8-aabe-b7f108fed927,F,XX-XX
eade5a81-3050-4b46-8ec3-7880e58ca4b6,M,XX-XX
e26d9fa0-2c8d-4713-8474-1728ea990116,F,XX-XX
03528683-df2f-4c3d-a3f2-72b72656dcac,F,XX-XX
6cc3b107-0c45-4fb3-ad25-2b390813530e,M,XX-XX
c7d36240-b2f1-4da8-9839-84ef8c6e3d99,M,XX-XX
61e0110c-f2b7-47fe-97a5-a7a0ef882593,F,XX-XX
9e57bef9-af49-4907-98c4-c25d05e4df22,F,XX-XX
7357f5e7-80e5-4060-babb-8cee1e1b66dc,M,XX-XX
12a44745-b96d-4837-8b07-b95da70d4963,M,XX-XX
4639cc3f-97d2-41f2-b93b-29b51889f8cb,M,XX-XX
c6a31792-2aa6-4c2e-9532-b1c9c8a8cf3a,F,XX-XX
79e07206-ec12-46cf-8bc0-40d9acc4d63c,F,XX-XX
687c550d-1a79-45a9-b170-b3d75416878d,M,XX-XX
f17dbc17-c0ee-422b-827a-f732bad14ab5,M,XX-XX
481839a9-8797-4b70-859e-6d32fbad4e58,M,XX-XX
71361a7c-f51d-4466-8bf6-b0e73c395883,F,XX-XX
4d3d30af-8acb-4aaa-bb4f-c1068f7c2e33,F,XX-XX
a93f4383-4d74-406c-8500-10fe0bfddae3,F,XX-XX
40c68fe7-5f51-4b13-be2a-b18334b74451,F,XX-XX
5974c2f3-ec66-480e-9bf4-d8253ea4ac09,M,XX-XX
8b5071ee-f4f8-4378-9b84-5c7e8ff85135,F,XX-XX
854c91dc-dae0-4817-b6b1-516ed1a99dfd,F,XX-XX
55171872-fa44-4f88-8ec9-aaeba84f8d11,M,XX-XX
6e4a6417-1430-41bc-9737-30a010de17f4,M,XX-XX
3fdc00eb-05db-4b1c-84a0-649050e3f9b7,F,XX-XX
466c6c77-23cd-454c-b225-31e44ae70efd,F,XX-XX
f5651579-0652-4d90-a1f6-987f13c3cc8c,F,XX-XX
9b33e997-26c6-4950-87f2-1b2786b1f67a,F,XX-XX
