user_id,gender,age_group
26ef799a-128a-40ec-b5e1-1faeacecdc41,F,XX-XX
fc285034-9f37-4d61-8839-e7482cb656a3,F,XX-XX
d2acdba6-411e-4a79-9761-9342c566d245,F,XX-XX
3bda705f-d839-4c28-8f59-78d7c23bdc6d,M,XX-XX
205dac43-ee00-4e75-b133-2a268936777e,F,XX-XX
61bd16c2-d5ed-473f-a005-74954e1b21ea,F,XX-XX
0100bdc3-72ba-4f4f-92a5-3701cf477887,F,XX-XX
edec283e-34c5-4325-b878-5c25c03923e1,F,XX-XX
61250d3c-70c8-42d0-a0a8-1507c7746c7c,M,XX-XX
3dd044fa-82a0-4118-81e4-759318e1eb50,M,XX-XX
de0d6450-876f-4f57-ad3f-2c4ced8cbc7b,M,XX-XX
bf42a557-3b70-4baa-b40e-6e537af8a6be,M,XX-XX
20da3369-9e6f-48b7-a827-a24b45d7047b,F,XX-XX
eefe6049-0022-479e-9202-77a5f6f052c4,M,XX-XX
73c4ce61-dd34-4ad7-b5e5-1a8f50ef5054,M,XX-XX
a258b1e6-4c0f-48df-96a8-3a70edf67234,M,XX-XX
f6497e46-3a19-4fec-bcb3-53853befa0e6,M,XX-XX
0ebfc364-d996-4233-93c7-3cf3d74e310f,M,XX-XX
9c51aef9-3bfc-40a4-8981-09ebb7301e8a,F,XX-XX
8d3839e2-ad8c-47b9-bef6-f456bebb4eb9,M,XX-XX
ae108903-36c0-4806-965b-bafe24c7b759,F,XX-XX
0cfb691e-667c-454b-bded-b8e14cf68dcf,F,XX-XX
9f08a484-94d3-450a-9e77-f90327443840,F,XX-XX
b7cf0e0c-f7cd-4011-ac0d-d63b4671ece2,M,XX-XX
4bc77f6c-842d-4319-811f-68ab531b23f0,F,XX-XX
c82664d6-3171-4c4f-a0a1-bd29fd8e7f0f,M,XX-XX
d8361355-01ca-4441-a060-acd0aaad256e,M,XX-XX
ceb5a6e6-46e6-4bff-b707-161609c67cbe,F,XX-XX
46046210-76f5-4ccc-9bc5-5a0a060ba415,M,XX-XX
099fa646-fece-4d66-bdfa-d9034a4dacb7,F,XX-XX
5d459caa-de7d-4d27-96a8-51542ecf9b23,F,XX-XX
9e3f3dd5-4f50-4c31-a48b-77ae0b1f87d4,F,XX-XX
0f91196f-5b92-4502-aab5-87ac8913f5fd,F,XX-XX
818b2399-7674-453c-bb2a-5f372879591c,M,XX-XX
6bfd6368-0cd7-4d58-a53a-067ffeead722,M,XX-XX
a5898163-5c9f-489a-83e4-5ad17fca6d6f,M,XX-XX
b7314aa9-1806-4ceb-9f11-3f6dcf473b30,F,XX-XX
6eac1b7a-0767-4bd2-a95a-4cb750fefab0,F,XX-XX
51ee89ab-4285-4316-bf85-42f8ed0bfc8c,M,XX-XX
524c1fff-45c9-4a39-ae75-f0d73c192478,M,XX-XX
5a42dd6d-c8e3-4022-b187-059a37863c19,F,XX-XX
9b835c60-11f5-407c-bc7e-6ed9e5119a1c,M,XX-XX
91fc3305-01d1-4f0c-a67f-969f42c0473c,M,XX-XX
7cd1212f-bf48-45d3-bb13-e221cce0214a,M,XX-XX
e3e554fb-5f6a-4c6b-81bc-09b22eae63e3,F,XX-XX
861e8711-0009-49e6-a3db-841d74b0edac,F,XX-XX
d5714083-4fe2-4df8-be2f-28bc5cc3cb30,F,XX-XX
a1bcdd7d-7a7e-41b7-a16a-26666e33dac8,F,XX-XX
5278f140-a8c2-4982-bf13-258fc347e55e,M,XX-XX
16592d35-63a2-440e-b61d-91217d874a9e,M,XX-XX
29f38481-c4e5-48cb-bcb3-56ecf95912a1,M,XX-XX
