epoch,train_loss,learning_rate,eval_loss,eval_rmse,eval_mae,eval_acc,eval_pearson
1,0.04035742029261131,1e-05,0.026349553372710943,0.16232546,0.1299493,0.475,0.24993145
2,0.03229998585839684,2e-05,0.029382704058662057,0.17141384,0.13908973,0.425,0.41317302
3,0.030880433292343065,2e-05,0.03217155626043677,0.17936432,0.14389192,0.45,0.48401743
4,0.027136469797159616,1.9978803340062177e-05,0.023285370552912354,0.15259545,0.12380321,0.5,0.5348817
5,0.026690609663581617,1.9915304127600726e-05,0.030290538910776377,0.17404178,0.13599913,0.45,0.5488578
6,0.023140368374207847,1.9809774275991984e-05,0.02919643954373896,0.17086966,0.13367923,0.45,0.5396767
7,0.024267918895930052,1.966266568026178e-05,0.02554540173150599,0.15982929,0.12573743,0.475,0.5815954
8,0.023306906742688555,1.9474608282001554e-05,0.024841876002028584,0.15761305,0.12100206,0.55,0.6372432
9,0.020131640046691664,1.9246407371861743e-05,0.022263842402026057,0.14921074,0.117774144,0.475,0.59443086
10,0.020130723087976757,1.8979040141173618e-05,0.024113262072205544,0.15528445,0.12121572,0.5,0.5893613
11,0.021638351617954098,1.867365149746595e-05,0.019482940435409546,0.13958131,0.10807453,0.65,0.6556921
12,0.011933653078113612,1.8331549161795205e-05,0.019211615435779095,0.13860597,0.10786982,0.625,0.6685755
13,0.011121367847618576,1.7954198068883233e-05,0.016275666770525277,0.12757613,0.09834086,0.575,0.7117775
14,0.013546021583561715,1.754321409404188e-05,0.023822678485885262,0.15434596,0.1227864,0.475,0.71191657
15,0.009918584506242322,1.7100357133746823e-05,0.015732577885501087,0.12542957,0.09276382,0.625,0.71747464
16,0.008599388072840296,1.6627523569490685e-05,0.017123355180956423,0.13085623,0.09841576,0.65,0.747326
17,0.0065572136260855654,1.6126738147186337e-05,0.01854377519339323,0.13617553,0.10407623,0.575,0.7618972
18,0.00875828999023025,1.5600145306894067e-05,0.015516148647293448,0.12456383,0.093776904,0.65,0.7652853
19,0.007178170799026982,1.505e-05,0.014868369093164802,0.12193592,0.09211185,0.65,0.76269996
20,0.004905598911976155,1.4478658033168112e-05,0.016885109362192452,0.12994272,0.09559751,0.65,0.7730843
21,0.004795682688172047,1.3888565980414389e-05,0.01654515299014747,0.12862796,0.09612875,0.625,0.78036535
22,0.005153680220246315,1.3282250706501299e-05,0.014924206770956516,0.122164674,0.08946191,0.65,0.7753157
23,0.005481438228273943,1.2662308546514954e-05,0.01372267841361463,0.117143825,0.083983004,0.675,0.7632917
24,0.007975246945324425,1.203139418795967e-05,0.0165923445019871,0.12881127,0.09747263,0.625,0.744763
25,0.005888571306758632,1.1392209302978512e-05,0.017760018701665103,0.13326672,0.10249627,0.65,0.738733
26,0.005510689354895686,1.074749097937842e-05,0.016566155827604234,0.12870958,0.095324725,0.65,0.7514343
27,0.005167284040138698,1.01e-05,0.01781450747512281,0.133471,0.09814223,0.7,0.7657737
28,0.0036637260345742106,9.452509020621582e-06,0.015160368639044464,0.123127446,0.08976267,0.675,0.7654644
29,0.003218064368971122,8.807790697021488e-06,0.01765169156715274,0.13285968,0.098903775,0.625,0.7538254
30,0.0025159540886166864,8.16860581204033e-06,0.01673373964149505,0.12935896,0.09386785,0.65,0.74983394
31,0.004139875140166483,7.537691453485044e-06,0.015930758439935744,0.1262171,0.09031408,0.65,0.7421962
32,0.0037814104457188826,6.917749293498699e-06,0.01759137911722064,0.1326325,0.09734115,0.65,0.75883937
