epoch,train_loss,val_map@10
1,0.5687270760536194,0.08333333333333333
2,0.5268915891647339,0.09722222222222222
3,0.475121408700943,0.075
4,0.4670127332210541,0.075
5,0.4719482660293579,0.075
6,0.4343701899051666,0.075
7,0.42601466178894043,0.075
8,0.44017529487609863,0.06999999999999999
9,0.4096904695034027,0.1
10,0.3710213005542755,0.11666666666666665
11,0.4205763339996338,0.10833333333333332
12,0.358412504196167,0.09333333333333334
13,0.32221800088882446,0.09
14,0.35373079776763916,0.10333333333333332
15,0.3244788646697998,0.09166666666666666
16,0.3143060505390167,0.09095238095238094
17,0.27790844440460205,0.07888888888888888
18,0.28726446628570557,0.056666666666666664
19,0.27122604846954346,0.056666666666666664
20,0.2721009850502014,0.07133333333333333
21,0.2405392825603485,0.07333333333333333
22,0.2639980614185333,0.08142857142857143
23,0.25201016664505005,0.08142857142857143
24,0.23794697225093842,0.06933333333333333
25,0.23379793763160706,0.06933333333333333
26,0.203462615609169,0.06933333333333333
27,0.21794535219669342,0.06933333333333333
28,0.19990697503089905,0.06933333333333333
29,0.21751071512699127,0.06933333333333333
30,0.209016814827919,0.06933333333333333
